trade_date,ts_code,close,settle,vol,amount,oi
20201016,AL2011.SHF,14710.0,14675.0,109000.0,799824.4075,129298.0
20201015,AL2011.SHF,14680.0,14660.0,95120.0,697383.9875,127023.0
20201014,AL2011.SHF,14650.0,14645.0,95766.0,701464.105,126079.0
20201013,AL2011.SHF,14620.0,14610.0,99342.0,725779.3175,121836.0
20201012,AL2011.SHF,14595.0,14490.0,103737.0,751804.6025,115523.0
20201009,AL2011.SHF,14420.0,14400.0,76885.0,553720.825,106602.0
20200930,AL2011.SHF,14145.0,14200.0,116373.0,826406.66,101113.0
20200929,AL2011.SHF,14205.0,14200.0,124186.0,881909.1325,107188.0
20200928,AL2011.SHF,14100.0,13975.0,147337.0,1029780.025,116072.0
20200925,AL2010.SHF,14090.0,13925.0,153085.0,1065980.9525,74361.0
20200924,AL2010.SHF,13940.0,14045.0,195361.0,1355578.9275,96491.0
20200923,AL2010.SHF,14345.0,14470.0,121572.0,878426.3975,104178.0
20200922,AL2010.SHF,14525.0,14590.0,107284.0,782781.6325,109151.0
20200921,AL2010.SHF,14665.0,14655.0,80813.0,592165.0975,120342.0
20200918,AL2010.SHF,14640.0,14580.0,109463.0,798071.3275,121608.0
20200917,AL2010.SHF,14505.0,14520.0,87716.0,636520.105,120380.0
20200916,AL2010.SHF,14550.0,14545.0,76812.0,558756.395,122927.0
20200915,AL2010.SHF,14570.0,14505.0,102103.0,740596.5775,122927.0
20200914,AL2010.SHF,14515.0,14415.0,144518.0,1041909.225,126473.0
20200911,AL2010.SHF,14235.0,14410.0,155647.0,1121471.225,127452.0
20200910,AL2010.SHF,14340.0,14370.0,72088.0,518033.8,122757.0
20200909,AL2010.SHF,14355.0,14380.0,126649.0,910671.29,121708.0
20200908,AL2010.SHF,14485.0,14495.0,75818.0,549631.6875,120941.0
20200907,AL2010.SHF,14480.0,14435.0,129081.0,931744.6975,121885.0
20200904,AL2010.SHF,14270.0,14285.0,123074.0,879088.7625,124344.0
20200903,AL2010.SHF,14310.0,14385.0,124049.0,892271.28,125211.0
20200902,AL2010.SHF,14505.0,14455.0,136329.0,985397.1625,127034.0
20200901,AL2010.SHF,14555.0,14570.0,84629.0,616572.1225,123446.0
20200831,AL2010.SHF,14540.0,14595.0,98204.0,716753.74,118362.0
20200828,AL2010.SHF,14605.0,14550.0,102554.0,746303.915,120637.0
20200827,AL2010.SHF,14555.0,14595.0,89262.0,651590.6475,112796.0
20200826,AL2009.SHF,14765.0,14690.0,65837.0,483703.0775,90642.0
20200825,AL2009.SHF,14590.0,14675.0,64180.0,471052.5925,99467.0
20200824,AL2009.SHF,14755.0,14660.0,92524.0,678290.7625,105445.0
20200821,AL2009.SHF,14710.0,14820.0,129200.0,957594.56,113300.0
20200820,AL2009.SHF,14675.0,14710.0,94753.0,697108.66,113636.0
20200819,AL2009.SHF,14635.0,14555.0,104329.0,759349.65,115378.0
20200818,AL2009.SHF,14435.0,14425.0,73097.0,527275.515,114645.0
20200817,AL2009.SHF,14405.0,14335.0,113964.0,816852.255,113916.0
20200814,AL2009.SHF,14405.0,14365.0,98283.0,705986.08,118139.0
20200813,AL2009.SHF,14360.0,14360.0,111975.0,804184.82,115366.0
20200812,AL2009.SHF,14235.0,14245.0,107460.0,765452.4425,118416.0
20200811,AL2009.SHF,14220.0,14305.0,127438.0,911726.305,122283.0
20200810,AL2009.SHF,14355.0,14450.0,137858.0,996095.1975,123047.0
20200807,AL2009.SHF,14555.0,14490.0,116414.0,843530.6525,127834.0
20200806,AL2009.SHF,14505.0,14545.0,156315.0,1137172.3125,131365.0
20200805,AL2009.SHF,14660.0,14720.0,134734.0,991935.07,134584.0
20200804,AL2009.SHF,14695.0,14725.0,118107.0,869754.79,129964.0
20200803,AL2009.SHF,14600.0,14595.0,126686.0,924528.1775,126062.0
20200731,AL2009.SHF,14685.0,14680.0,165307.0,1213363.965,128926.0
20200730,AL2009.SHF,14720.0,14675.0,184924.0,1356962.9425,133440.0
20200729,AL2009.SHF,14505.0,14460.0,149383.0,1080259.5075,124087.0
20200728,AL2009.SHF,14330.0,14295.0,119313.0,852923.1525,108345.0
20200727,AL2008.SHF,14440.0,14440.0,65477.0,472834.4625,99005.0
20200724,AL2008.SHF,14405.0,14420.0,85880.0,619365.14,103697.0
20200723,AL2008.SHF,14395.0,14365.0,73065.0,524925.65,109583.0
20200722,AL2008.SHF,14390.0,14390.0,79131.0,569441.8475,113228.0
20200721,AL2008.SHF,14245.0,14245.0,72396.0,515729.565,117163.0
20200720,AL2008.SHF,14245.0,14240.0,91159.0,649260.7525,120197.0
20200717,AL2008.SHF,14155.0,14100.0,112473.0,792999.4825,122892.0
20200716,AL2008.SHF,13975.0,14195.0,157918.0,1120974.5425,129363.0
20200715,AL2008.SHF,14475.0,14485.0,119770.0,867695.0725,137782.0
20200714,AL2008.SHF,14485.0,14580.0,155686.0,1134957.685,142136.0
20200713,AL2008.SHF,14730.0,14650.0,214046.0,1568268.135,148900.0
20200710,AL2008.SHF,14375.0,14330.0,137078.0,982499.2575,164704.0
20200709,AL2008.SHF,14290.0,14215.0,114121.0,811339.6025,162222.0
20200708,AL2008.SHF,14150.0,14050.0,124209.0,872857.5,164340.0
20200707,AL2008.SHF,14060.0,14115.0,111672.0,788294.395,163969.0
20200706,AL2008.SHF,14125.0,14075.0,102848.0,723978.6025,166738.0
20200703,AL2008.SHF,14055.0,13995.0,82807.0,579514.485,168189.0
20200702,AL2008.SHF,13965.0,13980.0,101746.0,711362.3725,165872.0
20200701,AL2008.SHF,14030.0,13935.0,101045.0,704201.7825,168349.0
20200630,AL2008.SHF,13830.0,13800.0,91061.0,628468.305,165170.0
20200629,AL2008.SHF,13775.0,13725.0,82348.0,565268.1925,159874.0
20200624,AL2008.SHF,13605.0,13625.0,78639.0,535923.64,151068.0
20200623,AL2008.SHF,13655.0,13675.0,111267.0,761003.755,154966.0
20200622,AL2007.SHF,13865.0,13785.0,82441.0,568236.675,98819.0
20200619,AL2007.SHF,13795.0,13740.0,77571.0,533040.1975,104717.0
20200618,AL2007.SHF,13745.0,13780.0,95277.0,656587.0025,113686.0
20200617,AL2007.SHF,13840.0,13880.0,120800.0,838408.3675,121571.0
20200616,AL2007.SHF,13875.0,13770.0,116479.0,802119.5025,130751.0
20200615,AL2007.SHF,13605.0,13610.0,115854.0,788552.4475,133233.0
20200612,AL2007.SHF,13625.0,13570.0,102779.0,697515.2025,135669.0
20200611,AL2007.SHF,13535.0,13675.0,138563.0,947593.7425,135790.0
20200610,AL2007.SHF,13670.0,13620.0,97139.0,661734.64,142093.0
20200609,AL2007.SHF,13555.0,13545.0,134031.0,907728.865,144644.0
20200608,AL2007.SHF,13420.0,13335.0,90180.0,601397.6425,143804.0
20200605,AL2007.SHF,13180.0,13155.0,75034.0,493542.3,143276.0
20200604,AL2007.SHF,13165.0,13170.0,58864.0,387712.03,143555.0
20200603,AL2007.SHF,13150.0,13100.0,77940.0,510598.195,143223.0
