cal_date,ppi_yoy,ppi_mom,ppi_accu,nt_val,town_val,cnt_val,m0,m1,m2,gdp,pi,si,ti,trade_date,ts_code,close,settle,vol,amount,oi
20180803,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180803.0,AL1809.SHF,14390.0,14390.0,145318.0,1045614.435,230608.0
20180806,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180806.0,AL1809.SHF,14395.0,14410.0,140146.0,1009925.7,226436.0
20180807,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180807.0,AL1809.SHF,14430.0,14425.0,122586.0,884431.62,216808.0
20180808,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180808.0,AL1810.SHF,14495.0,14480.0,109674.0,794251.155,234864.0
20180809,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180809.0,AL1810.SHF,14825.0,14755.0,437570.0,3228952.905,298526.0
20180810,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180810.0,AL1810.SHF,14620.0,14675.0,294956.0,2164456.22,281184.0
20180813,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180813.0,AL1810.SHF,14690.0,14690.0,232788.0,1710049.21,281894.0
20180814,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180814.0,AL1810.SHF,14700.0,14690.0,183776.0,1349907.28,284204.0
20180815,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180815.0,AL1810.SHF,14540.0,14605.0,219384.0,1602378.04,278934.0
20180816,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180816.0,AL1810.SHF,14440.0,14390.0,336616.0,2422548.285,267170.0
20180817,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180817.0,AL1810.SHF,14405.0,14465.0,199132.0,1440448.54,261844.0
20180820,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180820.0,AL1810.SHF,14455.0,14415.0,165202.0,1191097.285,262892.0
20180821,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180821.0,AL1810.SHF,14705.0,14640.0,317718.0,2325774.585,283694.0
20180822,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180822.0,AL1810.SHF,14655.0,14680.0,183248.0,1345096.795,278110.0
20180823,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180823.0,AL1810.SHF,14630.0,14670.0,161156.0,1182091.125,264824.0
20180824,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180824.0,AL1810.SHF,14790.0,14735.0,227984.0,1679855.21,273830.0
20180827,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180827.0,AL1810.SHF,14735.0,14795.0,203854.0,1508045.53,264810.0
